"자치구","안심 주소","CCTV 용도","위도","경도","CCTV 수량","수정 일시"
"서대문구","복주산근린공원4(북아현동144-1)","도심공원","37.5610700096584","126.955755416697","1","2021-01-27"
"서대문구","복주산근린공원5(북아현동144-1)","도심공원","37.5610700096584","126.955755416697","1","2021-01-27"
"서대문구","복주산근린공원6(북아현동144-1)","도심공원","37.5610700096584","126.955755416697","1","2021-01-27"
"서대문구","복주산근린공원7(북아현동144-1)","도심공원","37.5610700096584","126.955755416697","1","2021-01-27"
"서대문구","창천골목공원1(연희동346-30)","도심공원","37.5613048429014","126.930644577417","1","2021-01-27"
"서대문구","창천골목공원2","도심공원","37.5613048429014","126.930644577417","1","2021-01-27"
"서대문구","창천골목공원3","도심공원","37.5613048429014","126.930644577417","1","2021-01-27"
"서대문구","복주산근린공원1-2구역1(북아현로11길55)","도심공원","37.5618544727756","126.954875008598","1","2021-01-27"
"서대문구","복주산근린공원1-2구역2","도심공원","37.5618544727756","126.954875008598","1","2021-01-27"
"서대문구","복주산근린공원1-2구역3","도심공원","37.5618544727756","126.954875008598","1","2021-01-27"
"서대문구","복주산근린공원1-2구역4","도심공원","37.5618544727756","126.954875008598","1","2021-01-27"
"서대문구","복주산근린공원1-2구역5","도심공원","37.5618544727756","126.954875008598","1","2021-01-27"
"서대문구","복주산근린공원1-2구역6","도심공원","37.5618544727756","126.954875008598","1","2021-01-27"
"서대문구","복주산근린공원1-2구역7","도심공원","37.5618544727756","126.954875008598","1","2021-01-27"
"서대문구","복주산근린공원1-2구역8","도심공원","37.5618544727756","126.954875008598","1","2021-01-27"
"서대문구","복주산근린공원1-2구역9","도심공원","37.5618544727756","126.954875008598","1","2021-01-27"
"서대문구","한성어린이공원1(북아현동147-43)","도심공원","37.5618544727756","126.954875008598","1","2021-01-27"
"서대문구","한성어린이공원10(북아현동147-43)","도심공원","37.5618544727756","126.954875008598","1","2021-01-27"
"서대문구","한성어린이공원11(북아현동147-43)","도심공원","37.5618544727756","126.954875008598","1","2021-01-27"
"서대문구","한성어린이공원2(북아현동147-43)","도심공원","37.5618544727756","126.954875008598","1","2021-01-27"
"서대문구","한성어린이공원3(북아현동147-43)","도심공원","37.5618544727756","126.954875008598","1","2021-01-27"
"서대문구","한성어린이공원4(북아현동147-43)","도심공원","37.5618544727756","126.954875008598","1","2021-01-27"
"서대문구","한성어린이공원5(북아현동147-43)","도심공원","37.5618544727756","126.954875008598","1","2021-01-27"
"서대문구","한성어린이공원6(북아현동147-43)","도심공원","37.5618544727756","126.954875008598","1","2021-01-27"
"서대문구","한성어린이공원7(북아현동147-43)","도심공원","37.5618544727756","126.954875008598","1","2021-01-27"
"서대문구","한성어린이공원8(북아현동147-43)","도심공원","37.5618544727756","126.954875008598","1","2021-01-27"
"서대문구","한성어린이공원9(북아현동147-43)","도심공원","37.5618544727756","126.954875008598","1","2021-01-27"
"서대문구","둥글레소공원1(연희동344-228)","도심공원","37.5630780548242","126.930037945126","1","2021-01-27"
"서대문구","둥글레소공원2(연희동344-228)","도심공원","37.5630780548242","126.930037945126","1","2021-01-27"
"서대문구","둥글레소공원3(연희동344-228)","도심공원","37.5630780548242","126.930037945126","1","2021-01-27"
"서대문구","둥글레소공원4(연희동344-228)","도심공원","37.5630780548242","126.930037945126","1","2021-01-27"
"서대문구","안산도시공원(신일교회)(천연동145-2)","도심공원","37.566971","126.957686","1","2021-01-27"
"서대문구","복주우물공원1(북아현동1-1616)","도심공원","37.567562","126.951695","1","2021-01-27"
"서대문구","복주우물공원2","도심공원","37.567562","126.951695","1","2021-01-27"
"서대문구","연희어린이공원(연희동446-182)","도심공원","37.567744329078","126.921488462902","1","2021-01-27"
"서대문구","안산도시공원(아파트방향)(천연동산4-19)","도심공원","37.568809267596","126.957811309193","1","2021-01-27"
"서대문구","궁뜰어린이공원1(연희동123-5)","도심공원","37.568973","126.930467","1","2021-01-27"
"서대문구","궁뜰어린이공원2(연희동123-5)","도심공원","37.568973","126.930467","1","2021-01-27"
"서대문구","궁뜰어린이공원3(연희동123-5)","도심공원","37.568973","126.930467","1","2021-01-27"
"서대문구","봉원소공원1(봉원동52)","도심공원","37.569518","126.945508","1","2021-01-27"
"서대문구","봉원소공원2","도심공원","37.569518","126.945508","1","2021-01-27"
"서대문구","봉원소공원3","도심공원","37.569518","126.945508","1","2021-01-27"
"서대문구","궁동공원(화장실)(연희1동산118)","도심공원","37.5699022479447","126.923442042686","1","2021-01-27"
"서대문구","궁동공원(화장실)1","도심공원","37.5699022479447","126.923442042686","1","2021-01-27"
"서대문구","궁동공원(화장실)2","도심공원","37.5699022479447","126.923442042686","1","2021-01-27"
