"자치구","안심 주소","CCTV 용도","위도","경도","CCTV 수량","수정 일시"
"서초구","내곡동 197-14","도심공원","37.4459298586909","127.057525456769","1","2021-01-19"
"서초구","내곡동 197-14","도심공원","37.4459357916128","127.057536954207","1","2021-01-19"
"서초구","내곡동 (신원동) 251","도심공원","37.4478478168123","127.058089486304","1","2021-01-19"
"서초구","신원동 270-26","도심공원","37.4481495534065","127.055072941526","1","2021-01-19"
"서초구","신원동 270-26","도심공원","37.4481567247764","127.055061430763","1","2021-01-19"
"서초구","신원동 270-24","도심공원","37.448854181692","127.054430876067","1","2021-01-19"
"서초구","신원동 270-24","도심공원","37.4488542972086","127.054443289468","1","2021-01-19"
"서초구","내곡동 271-34","도심공원","37.4491038974569","127.058050713531","1","2021-01-19"
"서초구","내곡동 271-34","도심공원","37.449104686219","127.058040602379","1","2021-01-19"
"서초구","신원동 298-19","도심공원","37.4509246227901","127.053263671163","1","2021-01-19"
"서초구","신원동 298-19","도심공원","37.4509249797941","127.053249590208","1","2021-01-19"
"서초구","신원동 301-7","도심공원","37.4520780976891","127.052491572563","1","2021-01-19"
"서초구","신원동 301-7","도심공원","37.4520794351809","127.052505337257","1","2021-01-19"
"서초구","내곡동 105","도심공원","37.452495798518","127.064444183052","1","2021-01-19"
"서초구","내곡동 105","도심공원","37.4524971476619","127.064434634007","1","2021-01-19"
"서초구","신원동 318-1","도심공원","37.4526395841311","127.054008705214","1","2021-01-19"
"서초구","신원동 318-1","도심공원","37.4526402499823","127.054021295853","1","2021-01-19"
"서초구","신원동 322","도심공원","37.4527895224581","127.054551549008","1","2021-01-19"
"서초구","신원동 322","도심공원","37.4527907216526","127.054540500033","1","2021-01-19"
"서초구","신원동 471-1","도심공원","37.4532095801627","127.05384510631","1","2021-01-19"
"서초구","신원동 471-1","도심공원","37.453212273877","127.053830877228","1","2021-01-19"
"서초구","신원동 399","도심공원","37.4536276419485","127.059150151437","1","2021-01-19"
"서초구","신원동 399","도심공원","37.4536361451945","127.059162939013","1","2021-01-19"
"서초구","신원동 480-1","도심공원","37.4540611406662","127.052742284423","1","2021-01-19"
"서초구","신원동 480-1","도심공원","37.4540634126837","127.052731212751","1","2021-01-19"
"서초구","신원동 482-7","도심공원","37.4542828336659","127.052296303524","1","2021-01-19"
"서초구","신원동 482-7","도심공원","37.4542865204486","127.052314297913","1","2021-01-19"
"서초구","신원동 482-7","도심공원","37.4543116307549","127.05234324972","1","2021-01-19"
"서초구","신원동 482-7","도심공원","37.4543207741997","127.052333984904","1","2021-01-19"
"서초구","내곡동 146","도심공원","37.4546241489273","127.063328875993","1","2021-01-19"
"서초구","내곡동 146","도심공원","37.4546252603285","127.063344326573","1","2021-01-19"
"서초구","내곡동 184-27","도심공원","37.4546379890702","127.064848018058","2","2021-01-19"
"서초구","신원동 480-130","도심공원","37.454683999536","127.05125800986","1","2021-01-19"
"서초구","신원동 480-130","도심공원","37.4546846655075","127.051271476534","1","2021-01-19"
"서초구","내곡동 133","도심공원","37.4546976804784","127.062838059586","1","2021-01-19"
"서초구","내곡동 133","도심공원","37.4547070189898","127.062834072139","1","2021-01-19"
"서초구","신원동 504","도심공원","37.4555118141028","127.051269788769","1","2021-01-19"
"서초구","신원동 504","도심공원","37.455513976838","127.051260645112","1","2021-01-19"
